Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,1497,1296,201,1766303184609,1766303184664,3355845,3028244,327601
2,0,1520,2000,0,675,1766303189648,1766303189706,11726763,0,1850118
3,0,1597,2000,250,334,1766303194664,1766303194732,20561777,818848,2121885
4,0,1990,2000,635,0,1766303199674,1766303199729,16631138,5248168,0
5,0,2791,2000,10,446,1766303204694,1766303204755,23955957,41790,3338903
6,0,3277,2000,993,351,1766303209671,1766303209744,17526045,9097511,2366935
7,0,3886,2000,0,166,1766303214707,1766303214758,27473160,0,1383972
8,0,3808,2000,821,57,1766303219688,1766303219757,26533566,8253285,702525
9,0,4246,2000,0,345,1766303224733,1766303224791,29336477,0,4278150
10,0,5215,2000,627,364,1766303229680,1766303229742,31604191,6839567,4517497
11,0,6007,2000,534,203,1766303234694,1766303234754,31274997,8498311,2581196
13,1,5744,2000,212,134,1766303244714,1766303244765,48977734,3563345,2461672
14,1,4235,2000,430,165,1766303249742,1766303249796,43398129,9388093,3237976
15,1,5478,2000,98,312,1766303254740,1766303254798,51531090,2337090,5588298
16,1,5600,2000,385,1085,1766303259700,1766303259752,58442652,9997868,29497841
17,1,6479,2000,235,281,1766303264737,1766303264792,29931167,3553200,3854687
18,1,6727,2000,0,260,1766303269735,1766303269796,39108445,0,4034052
19,1,7768,2000,371,389,1766303274767,1766303274821,40486489,5946472,6961144
20,1,8155,2000,0,315,1766303279755,1766303279801,41435420,0,5939408
21,1,8662,2000,396,120,1766303284748,1766303284806,47542537,6689745,2213841
22,1,6988,2000,22,133,1766303289745,1766303289793,43838254,481294,2866097
23,1,5151,2000,0,0,1766303294748,1766303294806,53857271,0,0
24,1,3300,2000,367,459,1766303299761,1766303299828,49104980,8367077,10191403
26,2,1148,2000,0,0,1766303309760,1766303309811,65655450,0,0
27,2,0,1277,15,526,1766303314669,1766303314711,38662653,393420,10510093
28,2,0,14,0,14,1766303319582,1766303319613,50606,0,50606
29,2,0,0,0,0,1766303324581,1766303324629,0,0,0
30,2,0,0,0,0,1766303329581,1766303329627,0,0,0
31,2,0,0,0,0,1766303334582,1766303334621,0,0,0
